Method,Channels,Min,Max,Mean,Median
MatchedFilterOriginal,50,0.32688212394714355,0.32688212394714355,0.32688212394714355,0.32688212394714355
MatchedFilterNumpy,50,0.1904909610748291,0.1904909610748291,0.1904909610748291,0.1904909610748291
MatchedFilterNumpy_addition,50,0.2012157440185547,0.2012157440185547,0.2012157440185547,0.2012157440185547
CEM_optimized,50,0.13856911659240723,0.13856911659240723,0.13856911659240723,0.13856911659240723
CEM_original,50,0.1367356777191162,0.1367356777191162,0.1367356777191162,0.1367356777191162
CEM_numpy,50,0.1359410285949707,0.1359410285949707,0.1359410285949707,0.1359410285949707
mag1c_SAS,50,0.23296737670898438,0.23296737670898438,0.23296737670898438,0.23296737670898438
mag1c_tile,50,12.144293308258057,12.144293308258057,12.144293308258057,12.144293308258057
Morphological_Baseline,50,0.11925649642944336,0.11925649642944336,0.11925649642944336,0.11925649642944336
Original,72,11.517903566360474,11.517903566360474,11.517903566360474,11.517903566360474
Tile-wise,72,9.233336925506592,9.233336925506592,9.233336925506592,9.233336925506592
Tile-wise and Sampled,72,0.12708425521850586,0.12708425521850586,0.12708425521850586,0.12708425521850586
ACE_optimized,72,0.6302425861358643,0.6302425861358643,0.6302425861358643,0.6302425861358643
ACE_optimized_addition,72,0.5765254497528076,0.5765254497528076,0.5765254497528076,0.5765254497528076
ACE_original,72,2.3582940101623535,2.3582940101623535,2.3582940101623535,2.3582940101623535
ACE_numpy,72,1.2831168174743652,1.2831168174743652,1.2831168174743652,1.2831168174743652
ACE_numpy_addition,72,1.2833905220031738,1.2833905220031738,1.2833905220031738,1.2833905220031738
MatchedFilterOptimized,72,0.19393491744995117,0.19393491744995117,0.19393491744995117,0.19393491744995117
MatchedFilterOptimized_addition,72,0.2588493824005127,0.2588493824005127,0.2588493824005127,0.2588493824005127
MatchedFilterOriginal,72,0.4458746910095215,0.4458746910095215,0.4458746910095215,0.4458746910095215
MatchedFilterNumpy,72,0.2549855709075928,0.2549855709075928,0.2549855709075928,0.2549855709075928
MatchedFilterNumpy_addition,72,0.2611982822418213,0.2611982822418213,0.2611982822418213,0.2611982822418213
CEM_optimized,72,0.17707371711730957,0.17707371711730957,0.17707371711730957,0.17707371711730957
CEM_original,72,0.23244786262512207,0.23244786262512207,0.23244786262512207,0.23244786262512207
CEM_numpy,72,0.1981818675994873,0.1981818675994873,0.1981818675994873,0.1981818675994873
mag1c_SAS,72,0.3186359405517578,0.3186359405517578,0.3186359405517578,0.3186359405517578
mag1c_tile,72,16.49663472175598,16.49663472175598,16.49663472175598,16.49663472175598
Morphological_Baseline,72,0.12874746322631836,0.12874746322631836,0.12874746322631836,0.12874746322631836
Original,90,14.08259630203247,14.08259630203247,14.08259630203247,14.08259630203247
Tile-wise,90,12.466166973114014,12.466166973114014,12.466166973114014,12.466166973114014
Tile-wise and Sampled,90,0.1588432788848877,0.1588432788848877,0.1588432788848877,0.1588432788848877
ACE_optimized,90,0.6065547466278076,0.6065547466278076,0.6065547466278076,0.6065547466278076
ACE_optimized_addition,90,0.6387968063354492,0.6387968063354492,0.6387968063354492,0.6387968063354492
ACE_original,90,2.0742154121398926,2.0742154121398926,2.0742154121398926,2.0742154121398926
